system:index,Biota_Overlap,DEM,Endemicity,LST_Day_1km,NDVI,Rel_Occupancy,Rel_Species_Richness,id,.geo
589,-0.9182475201338466,57.363121836653896,1.0984088143831132,15059.786953722689,0.6862497461289362,0.7011193937478403,0.6389248863381327,6589,"{""type"":""Polygon"",""coordinates"":[[[-64.0000722,-4.800399799999999],[-63.00007299999999,-4.800399799999999],[-63.00007299999999,-3.7920168000000007],[-64.0000722,-3.7920168000000007],[-64.0000722,-4.800399799999999]]]}"
590,-0.9182475201338466,45.435399616261705,1.1001627900245732,15060.082899259118,0.7012205183001616,0.7011193937478403,0.6389248863381327,6590,"{""type"":""Polygon"",""coordinates"":[[[-63.00007299999999,-4.800399799999999],[-62.0000737,-4.800399799999999],[-62.0000737,-3.7920168000000007],[-63.00007299999999,-3.7920168000000007],[-63.00007299999999,-4.800399799999999]]]}"
591,-0.8783524277027288,46.51769092905487,1.0984088143831132,15073.14634480737,0.7338105912858587,0.6820369821280342,0.7891062478279314,6591,"{""type"":""Polygon"",""coordinates"":[[[-62.0000737,-4.800399799999999],[-61.0000744,-4.800399799999999],[-61.0000744,-3.7920168],[-62.0000737,-3.7920168000000007],[-62.0000737,-4.800399799999999]]]}"
592,-0.8285843073467386,45.242651774204525,1.0968126949713581,15084.849716699602,0.7504500961954589,0.6896699467759566,0.714015567083032,6592,"{""type"":""Polygon"",""coordinates"":[[[-61.0000744,-4.800399799999999],[-60.0000751,-4.800399799999999],[-60.0000751,-3.7920168000000007],[-61.0000744,-3.7920168],[-61.0000744,-4.800399799999999]]]}"
663,-0.6146979038101249,260.5770134727284,0.9971056523983911,15044.305668248864,0.782454861843472,-0.7376944423855312,1.0894689708075287,6663,"{""type"":""Polygon"",""coordinates"":[[[-77.0000629,-5.8102358999999995],[-76.0000636,-5.8102358999999995],[-76.0000636,-4.8003998],[-77.0000629,-4.800399799999999],[-77.0000629,-5.8102358999999995]]]}"
664,-1.067854116750538,143.22181737174216,1.0155374376157238,15049.603022973795,0.7840990950652655,-0.6537318312583849,1.3898316937871258,6664,"{""type"":""Polygon"",""coordinates"":[[[-76.0000636,-5.8102358999999995],[-75.0000643,-5.8102358999999995],[-75.0000643,-4.800399799999999],[-76.0000636,-4.8003998],[-76.0000636,-5.8102358999999995]]]}"
665,-1.029337513285536,115.4636030179808,1.029565677762608,15037.650347703922,0.780752959025213,-0.8178405711887162,1.7652850975116225,6665,"{""type"":""Polygon"",""coordinates"":[[[-75.0000643,-5.8102358999999995],[-74.000065,-5.8102358999999995],[-74.000065,-4.800399799999999],[-75.0000643,-4.800399799999999],[-75.0000643,-5.8102358999999995]]]}"
666,-1.067854116750538,142.2920453023391,1.029565677762608,15039.829698423247,0.7445651467943558,-1.0086646873867762,1.9905571397463206,6666,"{""type"":""Polygon"",""coordinates"":[[[-74.000065,-5.8102358999999995],[-73.0000657,-5.8102358999999995],[-73.0000657,-4.800399799999999],[-74.000065,-4.800399799999999],[-74.000065,-5.8102358999999995]]]}"
667,-1.030254575272798,146.02742040959822,1.0559264038944591,15037.421937827536,0.7914639473385464,-0.657548313582346,1.8779211186289715,6667,"{""type"":""Polygon"",""coordinates"":[[[-73.0000657,-5.8102358999999995],[-72.0000665,-5.8102358999999995],[-72.0000665,-4.800399799999999],[-73.0000657,-4.800399799999999],[-73.0000657,-5.8102358999999995]]]}"
668,-1.0259289643063323,142.2756986280396,1.0644103751387768,15039.23238765003,0.774668291819039,-0.2797165635101876,1.3898316937871258,6668,"{""type"":""Polygon"",""coordinates"":[[[-72.0000665,-5.8102358999999995],[-71.0000672,-5.8102358999999995],[-71.0000672,-4.800399799999999],[-72.0000665,-4.800399799999999],[-72.0000665,-5.8102358999999995]]]}"
669,-1.026296728801457,134.00623782340023,1.0618284997900045,15036.13006266896,0.7788022330833748,-0.21483636400284717,1.4273770341595755,6669,"{""type"":""Polygon"",""coordinates"":[[[-71.0000672,-5.8102358999999995],[-70.0000679,-5.8102358999999995],[-70.0000679,-4.800399799999999],[-71.0000672,-4.800399799999999],[-71.0000672,-5.8102358999999995]]]}"
670,-0.9420786594179213,149.25225402787063,1.06901442392487,15038.420594421756,0.7848092556568553,0.07139981029424265,1.3147410130422266,6670,"{""type"":""Polygon"",""coordinates"":[[[-70.0000679,-5.8102358999999995],[-69.0000686,-5.8102358999999995],[-69.0000686,-4.800399799999999],[-70.0000679,-4.800399799999999],[-70.0000679,-5.8102358999999995]]]}"
